,Brand,Model,if 1-3 days\ euro per day,Locations,Contact person
285,BMW,X5,1250,"Marbella, Ibiza, Spain",Nikoletta
286,Audi,Q8,525,"Marbella, Ibiza, Spain",Nikoletta
287,Audi,R8 Spider,1100,"Marbella, Ibiza, Spain",Nikoletta
288,Mercedes,GLE,650,"Marbella, Ibiza, Spain",Nikoletta
289,Mercedes,GLC,390,"Marbella, Ibiza, Spain",Nikoletta
290,Mercedes,GLS Maybach,1100,"Marbella, Ibiza, Spain",Nikoletta
291,Mercedes,G63 AMG,1250,"Marbella, Ibiza, Spain",Nikoletta
292,Bentley,GTC,1850,"Marbella, Ibiza, Spain",Nikoletta
293,Lamborghini,Urus,1450,"Marbella, Ibiza, Spain",Nikoletta
294,Lamborghini,Huracan Evo Spider,1500,"Marbella, Ibiza, Spain",Nikoletta
295,Ferrari,Portofino,1250,"Marbella, Ibiza, Spain",Nikoletta
296,Ferrari,488 Spider,1750,"Marbella, Ibiza, Spain",Nikoletta
297,Ferrari,F8 Spider,1750,"Marbella, Ibiza, Spain",Nikoletta
298,Porsche,911 Cabrio,825,"Marbella, Ibiza, Spain",Nikoletta
299,Ford,Mustang,375,"Marbella, Ibiza, Spain",Nikoletta
300,Ferrari,296 GTS,1850,"Bologna, Milano, Italy",Gianluca Betti 
301,Ferrari,296 GTB,1700,"Bologna, Milano, Italy",Gianluca Betti 
302,Ferrari,ROMA Spider,1450,"Bologna, Milano, Italy",Gianluca Betti 
303,Ferrari,F8 Spider,1750,"Bologna, Milano, Italy",Gianluca Betti 
304,Ferrari,Roma,1450,"Bologna, Milano, Italy",Gianluca Betti 
305,Ferrari,812 Superfast,2500,"Bologna, Milano, Italy",Gianluca Betti 
306,Lamborghini,Huracan Evo Spyder,1500,"Bologna, Milano, Italy",Gianluca Betti 
307,Lamborghini,Huracan Tecnica,1400,"Bologna, Milano, Italy",Gianluca Betti 
308,Lamborghini,Urus S,1450,"Bologna, Milano, Italy",Gianluca Betti 
309,Maserati,MC20 Cielo,1500,"Bologna, Milano, Italy",Gianluca Betti 
310,Porsche,911 Targa GTS,750,"Bologna, Milano, Italy",Gianluca Betti 
311,Range Rover,Vogue 350 D,1200,"Bologna, Milano, Italy",Gianluca Betti 
312,Audi,RS6,865,"Bologna, Milano, Italy",Gianluca Betti 
313,Ferrari,296 GTB,1700,"Rome, Italy",Massimo Villani 
314,Ferrari,F8 Spider,1750,"Rome, Italy",Massimo Villani 
315,Maserati,MC20 Cielo,1500,"Rome, Italy",Massimo Villani 
316,Lamborghini,Huracan Spider,1500,"Rome, Italy",Massimo Villani 
317,Tesla ,X,350,"Milano, Italy",Gianluca 
318,Mercedes ,G63,1250,"Milano, Italy",Gianluca 
319,Ferrari,812 GTS,2750,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
320,Ferrari,812 Superfast,2500,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
321,Ferrari,F8 Spider,1750,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
322,Ferrari,F8 Spider,1750,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
323,Ferrari,F8 Tributo,1500,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
324,Ferrari,Portofino M,1150,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
325,Ferrari,Roma Spider,1450,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
326,Ferrari,296 GTS,1850,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
327,Ferrari,Purosangue,2250,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
328,Lamborghini,Huracan STO,2000,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
329,Lamborghini,Huracan Evo Spyder,1500,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
330,Lamborghini,Huracan Evo Spyder,1500,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
331,Lamborghini,Urus S,1450,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
332,Lamborghini,Revuelto,2000,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
333,BMW,X6 40D M Sport,600,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
334,Land Rover,Range Rover Sport D Autobiography,1000,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
335,Porsche,911 Targa 4 GTS,900,"Milano, Bologna, Italy","Stefano Turrini  +39 3803764201
General Manager "
336,Range Rover,Sport HSE New Model,600,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
337,Range Rover,HSE Dynamics,600,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
338,Land Rover,Defender 110 V8 Supercharged,575,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
339,Land Rover,Defender 110,575,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
340,Audi,SQ7,900,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
341,Volvo,XC 90 R-Design,400,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
342,BMW,X5,1250,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
343,Maserati,Levante Hybrid,1000,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
344,Range Rover,Evoque,1550,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
345,Mercedes,V Class V 300 4MATIC XLong,350,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
346,Mercedes,V Class V 250 4MATIC Luxury,350,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
347,Mercedes,V 300 4MATIC Long,350,"milano,
tuscany,
forte dei marmi,  Italy",Gianni
348,Audi,RS6 ParcelOne limited edition,1300,,
349,Audi,RS3,375,,
350,Audi,RS5,350,,
351,Audi,R8,1100,,
352,Mercedes,G63 AMG,1250,,
353,Mercedes,A45S AMG,700,,
354,Mercedes,C43 AMG,400,,
355,Ford,Mustang 5.0 Cabrio,300,,
356,Ford,Mustang 5.0 Coupé,300,,
357,Ford,Mustang 2.3 Ecoboost Cabrio,300,,
358,Chevrolet,Camaro 6.2 V8 SS Cabrio,400,,
359,Chevrolet,Camaro 3.6 V6 Coupé,300,,
360,Dodge,Challenger 5.7 V8 Coupé,350,,
361,Ferrari,458 Spider,1350,,
362,Ferrari,488,1750,,
363,Maserati,Levante Modena,600,,
364,Maserati,Grancabrio,1000,,
365,Maserati,Ghibli,600,,
366,Land Rover,Defender,575,,
367,McLaren,GT,1100,,
368,Porsche,911 992 Carrera S,1000,,
369,Porsche,911 992 Carrera 4 Cabrio,1750,,
370,Porsche,718 Boxster,400,,
371,Porsche,GT3 RS,1500,,
372,Porsche,Cayenne Coupé,800,,
373,Abarth,695 Riva,250,,
374,Alfa Romeo,Stelvio,250,,
375,Tesla,Model 3,300,,
376,Porsche,Macan,350,"Roma, Italy","A,C,"
377,Range Rover,Evoque,1550,"Roma, Italy","A,C,"
378,Audi,A4,250,"Roma, Italy","A,C,"
379,Audi,A6,300,"Roma, Italy","A,C,"
380,Audi,RS Q8,900,"Roma, Italy","A,C,"
381,Cupra,Formentor,250,"Roma, Italy","A,C,"
382,Audi,Q8,525,"Roma, Italy","A,C,"
383,Audi,Q5,325,"Roma, Italy","A,C,"
384,Audi,Q5 Sportback,325,"Roma, Italy","A,C,"
385,Range Rover,Velar,650,"Roma, Italy","A,C,"
386,Range Rover,Sport 7 seats,525,"Roma, Italy","A,C,"
387,Porsche,992 Targa 4,1100,"Roma, Italy","A,C,"
388,Porsche,718 Boxster S,400,"Roma, Italy","A,C,"
389,Mini,Countryman,225,"Roma, Italy","A,C,"
390,Volvo,XC90,300,"Roma, Italy","A,C,"
391,Volvo,V60,300,"Roma, Italy","A,C,"
392,Mercedes,AMG GT Night,1550,"Roma, Italy","A,C,"
393,Audi,RS6,865,"Roma, Italy","A,C,"
394,Audi,RS3,375,"Roma, Italy","A,C,"
395,Mercedes,E53 AMG,500,"Roma, Italy","A,C,"
396,Mercedes,AMG G63,1325,"Roma, Italy","A,C,"
397,BMW,M4 Spyder,575,"Roma, Italy","A,C,"
398,Abarth,595 Cabrio,225,"Roma, Italy","A,C,"
399,Lamborghini,Urus,1450,"Roma, Italy","A,C,"
400,Porsche,Cayenne Coupé,800,"Roma, Italy","A,C,"
401,BMW,X6 M-Sport,600,"Roma, Italy","A,C,"
402,Mercedes,V-Class,350,"Roma, Italy","A,C,"
403,Ferrari,Portofino,1250,"Roma, Italy","A,C,"
404,Ferrari,458,1350,"Roma, Italy","A,C,"
405,Ferrari,FF,1750,"Roma, Italy","A,C,"
406,Ferrari,Roma,1450,"Roma, Italy","A,C,"
407,Ferrari,F8 Spider,1750,"Tuscany, Italy",Daniele
408,Ferrari,296 GTB,1700,"Tuscany, Italy",Daniele
409,Ferrari,296 GTS,1850,"Tuscany, Italy",Daniele
410,Ferrari,SF90 Spider,2400,"Tuscany, Italy",Daniele
411,Ferrari,SF90 Coupe,2500,"Tuscany, Italy",Daniele
412,Ferrari,812 GTS,2750,"Tuscany, Italy",Daniele
413,Lamborghini,Huracán STO,2000,"Tuscany, Italy",Daniele
414,Lamborghini,Tecnica,1400,"Tuscany, Italy",Daniele
415,Lamborghini,Sterrato,1425,"Tuscany, Italy",Daniele
416,Lamborghini,SVJ,3000,"Tuscany, Italy",Daniele
417,Lamborghini,Revuelto,2000,"Tuscany, Italy",Daniele
418,McLaren,765 LT,2100,"Tuscany, Italy",Daniele
419,Porsche,992 GT3,1100,"Tuscany, Italy",Daniele
420,Maserati,MC20,1150,"Tuscany, Italy",Daniele
421,Bentley,GTC,1850,"Tuscany, Italy",Daniele
422,Range Rover,Vogue,600,"Tuscany, Italy",Daniele
423,Range Rover,Sport,525,"Tuscany, Italy",Daniele
424,BMW,X7 (Sette Posti),625,"Tuscany, Italy",Daniele
425,BMW,X7M (Sette Posti),625,"Tuscany, Italy",Daniele
426,BMW,M2 CSL,425,"Tuscany, Italy",Daniele
427,Mercedes,V Class,350,"Milano, Italy",
428,BMW,X5,1250,"Milano, Italy",
429,Audi,Q7,450,"Milano, Italy",
430,Range Rover,Sport,525,"Milano, Italy",
431,Porsche,Cayenne E-Hybrid,500,"Milano, Italy",
432,Audi,RS6,865,"Milano, Italy",
433,Mercedes,G63 AMG,1250,"Milano, Italy",
434,Porsche,911 4S Cabrio,950,"Milano, Italy",
435,Ferrari,Portofino,1250,"Milano, Italy",
436,Lamborghini,Huracan Performante Spyder,1850,"Milano, Italy",
437,Audi,RS3,375,"Roma, Italy",Corry   Lacopo
438,Audi,RSQ3 Sportback,400,"Roma, Italy",Corry   Lacopo
439,Audi,RS4,650,"Roma, Italy",Corry   Lacopo
440,Audi,RS6,865,"Roma, Italy",Corry   Lacopo
441,Audi,Q8,525,"Roma, Italy",Corry   Lacopo
442,BMW,M135,1225,"Roma, Italy",Corry   Lacopo
443,BMW,M8 Cabrio,750,"Roma, Italy",Corry   Lacopo
444,BMW,M4 Competition,425,"Roma, Italy",Corry   Lacopo
445,Ferrari,F8 Tributo,1500,"Roma, Italy",Corry   Lacopo
446,Ferrari,Portofino,1250,"Roma, Italy",Corry   Lacopo
447,Porsche,911 Coupe (2021),800,"Roma, Italy",Corry   Lacopo
448,Porsche,Cayenne GTS,600,"Roma, Italy",Corry   Lacopo
449,Porsche,Carrera 4S Cabrio,800,"Roma, Italy",Corry   Lacopo
450,Lamborghini,Urus,1450,"Roma, Italy",Corry   Lacopo
451,Lamborghini,Huracan Evo Spider,1500,"Roma, Italy",Corry   Lacopo
452,Jeep,Rubicon Wrangler 2P,350,"Roma, Italy",Corry   Lacopo
453,Land Rover,Defender,575,"Roma, Italy",Corry   Lacopo
454,Maserati,Grecale GT,350,"Roma, Italy",Corry   Lacopo
455,Alfa Romeo,Stelvio Quadrifoglio,450,"Roma, Italy",Corry   Lacopo
456,Mercedes,E-Class Cabrio,450,"Roma, Italy",Corry   Lacopo
457,Mercedes,G-Class,750,"Roma, Italy",Corry   Lacopo
458,Mercedes,GLE400 SUV,700,"Roma, Italy",Corry   Lacopo
459,Mercedes,GLE 350 Coupe,650,"Roma, Italy",Corry   Lacopo
460,Mercedes,A45s,400,"Roma, Italy",Corry   Lacopo
461,Mercedes,A35,350,"Roma, Italy",Corry   Lacopo
462,Maserati,MC20,1150,"Roma, Italy",Corry   Lacopo
463,Tesla,3 RWD Highland,325,"Genoa, Italy",Elettricarent di Bruno Galvagno
464,Tesla,Model Y RWD,300,"Genoa, Italy",Elettricarent di Bruno Galvagno
465,Tesla,3 Long Range,300,"Genoa, Italy",Elettricarent di Bruno Galvagno
466,Tesla,3 Performance,325,"Genoa, Italy",Elettricarent di Bruno Galvagno
467,Tesla,Model Y Long Range,275,"Genoa, Italy",Elettricarent di Bruno Galvagno
468,Tesla,Model Y Performance,325,"Genoa, Italy",Elettricarent di Bruno Galvagno
469,Tesla,Model X,350,"Genoa, Italy",Elettricarent di Bruno Galvagno
470,Porsche,Taycan 4S,725,"Genoa, Italy",Elettricarent di Bruno Galvagno
471,Tesla,Model S Plaid,610,"Genoa, Italy",Elettricarent di Bruno Galvagno
472,FIAT,500c Cabrio,225,,
473,Abarth,500 595 Competizione,225,,
474,Mini,Cooper SD Cabrio,225,,
475,Range Rover,Sport,525,,
476,Range Rover,Sport,525,,
477,Mercedes,GLS,1100,,
478,Mercedes,CLE Cabrio,300,,
479,Mercedes,V Class 250d,350,,
480,Ferrari,Portofino M,1150,,
481,Ferrari,F8 Spider,1750,,
482,Lamborghini,Huracan Evo Spider,1500,,
483,Lamborghini,Huracan Evo Spyder,1500,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
484,Lamborghini,Urus,1450,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
485,Porsche,992/S Cabrio,1750,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
486,Mini,Cooper S Cabrio,300,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
487,Ferrari,Portofino,1250,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
488,Ferrari,Roma,1450,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
489,Mercedes,GLE 350de,650,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
490,Mercedes,GLA 200d,450,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
491,Range Rover,Sport MY24,525,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
492,Range Rover,Evoque 300P,1550,"Naples 
Amalfi coast 
Sorrento
Sardinia 
Sicily, Italy",Giuseppe
493,Ferrari,Portofino,1250,"Milano, Italy",Stefano
494,Porsche,992 4S Cabrio,950,"Milano, Italy",Stefano
495,Mercedes,V Class 2023 4MATIC XL,350,"Milano, Italy",Stefano
496,Lamborghini,Huracan Evo Spider,1500,"Milano, Italy",Stefano
497,Mercedes,G63 AMG,1250,"Milano, Italy",Stefano
498,Range Rover,Sport New Model 2023,525,"Milano, Italy",Stefano
499,Abarth,595 C,225,"Milano, Italy",Stefano
500,BMW,4 Series Cabrio M Pack,325,"Milano, Italy",Stefano
501,Alfa Romeo,4C,350,"Roma, Italy",ANDREA CANESTRI        
502,BMW,M4 Cabrio,600,"Roma, Italy",ANDREA CANESTRI        
503,BMW,4 Cabrio,600,"Roma, Italy",ANDREA CANESTRI        
504,Ferrari,California T,500,"Roma, Italy",ANDREA CANESTRI        
505,Ferrari,Portofino M,1150,"Roma, Italy",ANDREA CANESTRI        
506,Ferrari,F8 Spyder,2250,"Roma, Italy",ANDREA CANESTRI        
507,Ferrari,458 Spyder,1350,"Roma, Italy",ANDREA CANESTRI        
508,Ferrari,488 Spyder,1750,"Roma, Italy",ANDREA CANESTRI        
509,Lamborghini,Evo Spyder,1450,"Roma, Italy",ANDREA CANESTRI        
510,Lamborghini,Urus,1450,"Roma, Italy",ANDREA CANESTRI        
511,Porsche,Panamera 4S,825,"Roma, Italy",ANDREA CANESTRI        
512,Porsche,Cayenne S,500,"Roma, Italy",ANDREA CANESTRI        
513,Maserati,Grancabrio,1000,"Roma, Italy",ANDREA CANESTRI        
514,Maserati,Quattroporte,600,"Roma, Italy",ANDREA CANESTRI        
515,Maserati,Levante,500,"Roma, Italy",ANDREA CANESTRI        
516,Maserati,Ghibli,600,"Roma, Italy",ANDREA CANESTRI        
517,Jaguar,XJ,500,"Roma, Italy",ANDREA CANESTRI        
518,Lamborghini,Urus,1450,,
519,Ferrari,Portofino,1250,,
520,Range Rover,Sport 23,525,,
521,Lamborghini,Urus,1450,,
522,Aston Martin,DBX,1075,,
523,Bentley,Flying Spur,1300,,
524,Maserati,Levante Trofeo,750,,
525,Maserati,Grecale GT,350,,
526,Maserati,Grecale Modena,375,,
527,Mercedes,Classe S 350 d,600,,
528,Mercedes,Classe S 400 d,650,,
529,Maserati,Quattroporte Granlusso,600,,
530,Mercedes,G63,1250,,
531,Ferrari,Portofino M,1150,,
532,Ferrari,Roma,1450,,
533,Ferrari,F8 Tributo,1500,,
534,Ferrari,SF90 Stradale,2500,,
535,Mercedes,AMG SL 63 Cabrio,1250,,
536,BMW,X7,625,,
537,Ferrari,Purosangue V12 New 2024,2250,,
538,Ferrari,SF90 Spider New 2024,2400,,
539,Ferrari,296 GTS New 2024,1850,,
540,Ferrari,296 GTB,1700,,
541,Ferrari,F8 Spider,1750,,
542,Ferrari,488 Spider,1750,,
543,Ferrari,812 Superfast,2500,,
544,Ferrari,GTC4 Lusso V12,1250,,
545,Ferrari,Portofino M,1150,,
546,Ferrari,Roma,1450,,
547,Ferrari,Roma Spider New 2024,1450,,
548,Lamborghini,Huracan STO New 2024,2000,,
549,Lamborghini,Evo Spider,1500,,
550,Lamborghini,Urus Performante New 2024,1450,,
551,Lamborghini,Urus,1450,,
552,Porsche,992 Turbo S Cabrio,1750,,
553,Porsche,992 4S Cabrio,950,,
554,Porsche,Cayenne GTS Coupe,600,,
555,Porsche,Cayenne V6 New 2024,900,,
556,Porsche,Macan,350,,
557,Bentley,Bentayga New,1750,,
558,Bentley,GTC W12,1550,,
559,Mercedes,G63 4x4 2 New 2024,1250,,
560,Mercedes,G63 AMG,1250,,
561,Mercedes,GLE 53 AMG Coupe,500,,
562,Mercedes,GLE 350 7 Seats,650,,
563,Mercedes,GLE 350 Coupe,650,,
564,Mercedes,GLC 220,390,,
565,Mercedes,E220 Cabrio,400,,
566,Mercedes,S350 4Matic,850,,
567,Mercedes,V250 4Matic 8 Seats,450,,
568,Maybach,GLS 600,1100,,
569,McLaren,720 Spider Performance,1750,,
570,Audi,RSQ8,900,,
571,Audi,RS6,865,,
572,Audi,Q8 50 Sport,600,,
573,Audi,Q7 50 Sport 7 Seats,700,,
574,Audi,RSQ3 Sportback,400,,
575,Maserati,Levante Gransport,500,,
576,Maserati,Ghibli,600,,
577,Range Rover,Autobiography,1000,,
578,Range Rover,LWB Autobiography 7 Seats,2600,,
579,Range Rover,Sport Autobiography,1000,,
580,Range Rover,Sport 1st Edition,525,,
581,Range Rover,Velar,650,,
582,BMW,M8 Competition Cabrio,925,,
583,BMW,X6 M Competition New 2024,700,,
584,BMW,X5 M Sport New 2024,1300,,
585,BMW,X6 M Sport New 2024,600,,
586,Abarth,595 Turismo Cabrio,225,,
587,Abarth,595 Turismo Coupe,225,,
588,Audi,Q7,450,"Milan, Italy",Tommaso Scaffei
589,Mercedes,G63,1250,"Milan, Italy",Tommaso Scaffei
590,Mercedes,V Class,350,"Milan, Italy",Tommaso Scaffei
591,Ferrari,F8 Spyder,2250,"Milan, Italy",Tommaso Scaffei
592,BMW,M3,625,"Milan, Italy",Tommaso Scaffei
593,Range Rover,Sport,525,"Milan, Italy",Tommaso Scaffei
594,Range Rover,Evoque,1550,"Firenze, Italy",Fabrizio         Francesco
595,Range Rover,New (Season 2024),1000,"Firenze, Italy",Fabrizio         Francesco
596,Range Rover,Defender (7 Seats),575,"Firenze, Italy",Fabrizio         Francesco
597,Range Rover,Defender 75 Anniversary,575,"Firenze, Italy",Fabrizio         Francesco
598,Range Rover,Sport New Shape,525,"Firenze, Italy",Fabrizio         Francesco
599,Range Rover,Classic (7 Seats),300,"Firenze, Italy",Fabrizio         Francesco
600,Mini,Cooper Cabrio,225,"Firenze, Italy",Fabrizio         Francesco
601,Mercedes,GLS,1100,"Firenze, Italy",Fabrizio         Francesco
602,Mercedes,E Class Sedan,400,"Firenze, Italy",Fabrizio         Francesco
603,Mercedes,E Class Cabrio,350,"Firenze, Italy",Fabrizio         Francesco
604,Mercedes,Vito Tour,350,"Firenze, Italy",Fabrizio         Francesco
605,Mercedes,V Class,350,"Firenze, Italy",Fabrizio         Francesco
606,Mercedes,V Class New Model ,350,"Firenze, Italy",Fabrizio         Francesco
607,Mercedes,GLS New Model,1100,"Firenze, Italy",Fabrizio         Francesco
608,Mercedes,CLE Cabrio,300,"Firenze, Italy",Fabrizio         Francesco
609,Jaguar,F-Pace SVR,500,"Firenze, Italy",Fabrizio         Francesco
610,Maserati,Grecale Modena,375,"Firenze, Italy",Fabrizio         Francesco
611,Audi,A5 Cabrio,325,"Firenze, Italy",Fabrizio         Francesco
612,Audi,RS6,865,"Firenze, Italy",Fabrizio         Francesco
613,BMW,M4 Convertible,500,"Firenze, Italy",Fabrizio         Francesco
614,Porsche,Cayenne (2024),400,"Firenze, Italy",Fabrizio         Francesco
615,Porsche,992 Cabrio,2250,"Firenze, Italy",Fabrizio         Francesco
616,Ferrari,Portofino,1250,"Firenze, Italy",Fabrizio         Francesco
617,Ferrari,Portofino M,1150,"Firenze, Italy",Fabrizio         Francesco
618,Ferrari,Tributo Spider,1500,"Firenze, Italy",Fabrizio         Francesco
619,Ferrari,296 GTS ,1850,"Firenze, Italy",Fabrizio         Francesco
620,Mercedes,V Class 250d XL 4Matic,350,"Milan, Italy",Vito
621,Mini,Cabrio Cooper S JCW Package,250,"Milan, Italy",Vito
622,Mercedes,V Class 250d XL 4Matic Avantgarde Facelift,350,"Milan, Italy",Vito
623,Audi,RSQ3,400,"Roma , Napoli , Sicily, Italy",
624,Audi,A1,225,"Roma , Napoli , Sicily, Italy",
625,Audi,Q8,525,"Roma , Napoli , Sicily, Italy",
626,BMW,M4 Cabrio,600,"Roma , Napoli , Sicily, Italy",
627,Ferrari,California,500,"Roma , Napoli , Sicily, Italy",
628,Mini,John Cooper Works Cabrio,275,"Roma , Napoli , Sicily, Italy",
629,Lamborghini,Huracan EVO Spyder,1500,"Roma , Napoli , Sicily, Italy",
630,Mercedes,V Class,350,"Roma , Napoli , Sicily, Italy",
631,Mercedes,Vito,350,"Roma , Napoli , Sicily, Italy",
632,Ford,Van 9 Posti,225,"Roma , Napoli , Sicily, Italy",
633,Audi,A3,225,"Roma , Napoli , Sicily, Italy",
634,Audi,Q8,525,"Roma , Napoli , Sicily, Italy",
635,Audi,Q5,3250,"Roma , Napoli , Sicily, Italy",
636,Porsche,992 4S Coupe,1750,"Roma , Napoli , Sicily, Italy",
637,Abarth,595 Turismo Cabriolet,225,,
638,Audi,RS3,375,,
639,Audi,Q8,525,,
640,BMW,M2,450,,
641,BMW,X5,1250,,
642,Ferrari,F8 Spider,1750,,
643,Ferrari,Portofino M,1150,,
644,Ferrari,Roma Spider,1450,,
645,Lamborghini,Huracàn Evo Spyder,1500,,
646,Lamborghini,Urus,1450,,
647,Land Rover,Defender 110,575,,
648,Maserati,Grecale,400,,
649,Mercedes-Benz,A45S AMG,700,,
650,Mercedes-Benz,G63 AMG,1250,,
651,Mercedes-Benz,V250d 4Matic Extra Long,400,,
652,Mercedes-Benz,V300d 4Matic Extra Long,350,,
653,Porsche,Cayenne S Coupè,500,,
654,Porsche,992 Carrera 4S Cabriolet,800,,
655,Range Rover,Sport,525,,
656,Range Rover,Classic D300 HSE,1100,,
657,Range Rover,Classic D350 HSE,1100,,
658,Range Rover,Classic P530 First Edition,1025,,
659,Smart,Fortwo Brabus,300,,
660,Audi,SQ8,900,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
661,Audi,Q8,525,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
662,Audi,RS3,375,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
663,Audi,RS6,865,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
664,Aston Martin,DBX,1075,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
665,Bentley,Continental GTC,1550,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
666,Bentley,Flying Spur,1300,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
667,BMW,X7,625,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
668,BMW,M4 Cabriolet,600,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
669,BMW,i8,750,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
670,BMW,M2,450,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
671,Ferrari,Portofino,1250,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
672,Ferrari,Portofino M,1150,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
673,Ferrari,F8 Spider,1750,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
674,Ferrari,812 Superfast,2500,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
675,Ferrari,Roma,1450,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
676,Ferrari,F8 Coupè,1600,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
677,Ferrari,SF90,2400,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
678,Fiat,500 Cabrio,225,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
679,Jeep,Wrangler,425,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
680,Lamborghini,Urus,1450,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
681,Lamborghini,Huracan Evo Spider,1500,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
682,Range Rover,Velar,650,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
683,Range Rover,Sport,525,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
684,Range Rover,Vogue,600,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
685,Land Rover,Defender,600,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
686,Maserati,Grecale,400,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
687,Mercedes,A Class,300,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
688,Mercedes,A45 AMG,375,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
689,Mercedes,E Class Cabrio,350,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
690,Mercedes,E Class Sedan,400,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
691,Mercedes,S Class Cabrio,575,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
692,Mercedes,G63 AMG,1250,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
693,Mercedes,GLS,1100,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
694,Mercedes,SL53 AMG,900,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
695,Mercedes,Vito Luxury,350,"Forte dei marmi, Italy",Edoardo Sgueglia - Eddysguenda
